Date,Open,High,Low,Close,Adjusted_close,Volume
2017-07-26,153.3500,153.9300,153.0600,153.5000,153.5000,12778195.00
2017-07-25,151.8000,153.8400,151.8000,152.7400,152.7400,18714400.00
2017-07-24,150.5800,152.4400,149.9000,152.0900,152.0900,21304700.00
2017-07-21,149.9900,150.4400,148.8800,150.2700,150.2700,26252630.00
2017-07-20,151.5000,151.7400,150.1900,150.3400,150.3400,17243748.00
2017-07-19,150.4800,151.4200,149.9500,151.0200,151.0200,20922969.00
2017-07-18,149.2000,150.1300,148.6700,150.0800,150.0800,17868792.00
2017-07-17,148.8200,150.9000,148.5700,149.5600,149.5600,23243713.00
2017-07-14,147.9700,149.3300,147.3300,149.0400,149.0400,20132061.00
2017-07-13,145.5000,148.4900,145.4400,147.7700,147.7700,25199373.00
2017-07-12,145.8700,146.1800,144.8200,145.7400,145.7400,24884478.00
2017-07-11,144.7300,145.8500,144.3800,145.5300,145.5300,19781836.00
2017-07-10,144.1100,145.9500,143.3700,145.0600,145.0600,21090636.00
2017-07-07,142.9000,144.7500,142.9000,144.1800,144.1800,19201712.00
2017-07-06,143.0200,143.5000,142.4100,142.7300,142.7300,24128782.00
2017-07-05,143.6900,144.7900,142.7200,144.0900,144.0900,21569557.00
2017-07-03,144.8800,145.3001,143.1000,143.5000,143.5000,14276812.00
2017-06-30,144.4500,144.9600,143.7800,144.0200,144.0200,23024107.00
2017-06-29,144.7100,145.1300,142.2800,143.6800,143.6800,31499368.00
2017-06-28,144.4900,146.1100,143.1600,145.8300,145.8300,22082432.00
2017-06-27,145.0100,146.1600,143.6200,143.7300,143.7300,24761891.00
2017-06-26,147.1700,148.2800,145.3800,145.8200,145.8200,25692361.00
2017-06-23,145.1300,147.1600,145.1100,146.2800,146.2800,35439389.00
2017-06-22,145.7700,146.7000,145.1200,145.6300,145.6300,19106294.00
2017-06-21,145.5200,146.0700,144.6100,145.8700,145.8700,21265751.00
2017-06-20,146.8700,146.8700,144.9400,145.0100,145.0100,24900073.00
2017-06-19,143.6600,146.7400,143.6600,146.3400,146.3400,32541404.00
2017-06-16,143.7800,144.5000,142.2000,142.2700,142.2700,50361093.00
